ID,SKU (Manufacturer Part),RSR Stock Number,Product Name,Manufacturer,Category,Price,Quantity,Is Firearm,Requires FFL
143520,"PTR608","PTR608","PTR 9R 9MM 16"" MLOK 30RD BLK","PTR91","Rifles",0,0,No,Yes
129712,"CIT22LRBUSA","CIT22LRBUSA","CITADEL TRAKR 22LR 18"" SA 10RD USA","CIT","Rifles",0,0,No,Yes
137008,"KSA2161","KSA2161","KSA CRICKETT G2 22LR MSSY OAK PNK","KEY","Rifles",0,0,No,Yes
141822,"MXM-49684","MXM-49684","MAXIM MD10L 308WIN 16"" 20RD BZK GRN","MAXIM","Rifles",0,0,No,Yes
141831,"MXM-49736","MXM-49736","MAXIM MD15L 556NATO 16"" 30RD BZK GRN","MAXIM","Rifles",0,0,No,Yes
148461,"STAG15006502","STAG15006502","STAG 15 SPRT 16"" 556 30RD FSB RH BLK","STAG","Rifles",0,0,No,Yes
148462,"STAG15006602","STAG15006602","STAG 15 SPRT 16"" 556 30RD FSB RH ODG","STAG","Rifles",0,0,No,Yes
148463,"STAG15006702","STAG15006702","STAG 15 SPRT 16"" 556 30RD FSB RH FDE","STAG","Rifles",0,0,No,Yes
148465,"STAG15014302","STAG15014302","STAG 15 CLASSIC 16"" 556 30RD LH BLK","STAG","Rifles",0,0,No,Yes
148466,"STAG15016702","STAG15016702","STAG 15 SPRT 16"" 556 30RD FSB LH FDE","STAG","Rifles",0,0,No,Yes
131070,"DBF1717K171","DBF1717K171","DBF DB15 556 16"" MLOK 30RD TGR STRP","DBF","Rifles",0,0,No,Yes
148460,"STAG15005512","STAG15005512","STAG 15 SPCTRM 16"".223WYLDE RH FDE","STAG","Rifles",0,0,No,Yes
141812,"MXM-48560","MXM-48560","MAXIM MDX 516 5.56 16"" 30RD BLACK","MAXIM","Rifles",0,0,No,Yes
125099,"APAR620001AC","APAR620001AC","AERO AR9 LOWER RECEIVER 9/40 BLK","AERO","Uppers/Lowers",0,0,No,Yes
141814,"MXM-49050","MXM-49050","MAXIM MD15L 6MM ARC 16"" 10RD BLK","MAXIM","Rifles",0,0,No,Yes
141815,"MXM-49051","MXM-49051","MAXIM MD15L 6MM ARC 16"" 10RD GRAY","MAXIM","Rifles",0,0,No,Yes
141816,"MXM-49052","MXM-49052","MAXIM MD15L 6MM ARC 16"" 10RD FDE","MAXIM","Rifles",0,0,No,Yes
133113,"FX338A216","FX338A216","FAXON SENTRY 338ARC 16"" 10RD BLK","FAXON","Rifles",0,0,No,Yes
133118,"FX5500","FX5500","FAXON ION ULTRALT 556 16"" 30RD BLK","FAXON","Rifles",0,0,No,Yes
148467,"STAG15020102","STAG15020102","STAG 15 TAC 16"" 5.56 QPQ RH BLK","STAG","Rifles",0,0,No,Yes
125121,"APBG310007C","APBG310007C","AERO SOLUS LW SHORT ACTION .478","AERO","Uppers/Lowers",0,0,No,Yes
125122,"APBG310008C","APBG310008C","AERO SOLUS LW SHORT ACTION .540","AERO","Uppers/Lowers",0,0,No,Yes
125100,"APAR620002AC","APAR620002AC","AERO AR9 LOWER RECEIVER 9/40 FDE","AERO","Uppers/Lowers",0,0,No,Yes
132731,"FMKGAR1ETB","FMKGAR1ETB","FMK AR15 POLYMER LOWER RECEIVER BLUE","FMK","Uppers/Lowers",0,0,No,Yes
125091,"APAR600031AC","APAR600031AC","AERO M4E1 PRO STRIPPED LOWER ODG","AERO","Uppers/Lowers",0,0,No,Yes
132729,"FMKGAR1EBRT","FMKGAR1EBRT","FMK AR15 POLYMER LOWER RECEIVER BB","FMK","Uppers/Lowers",0,0,No,Yes
125066,"APAR308214","APAR308214","AERO M5 AR10 COMPLETE LOWER BLK","AERO","Uppers/Lowers",0,0,No,Yes
133122,"FX8616","FX8616","FAXON SENTINEL 8.6BLK 16"" 20RD BLK","FAXON","Rifles",0,0,No,Yes
148759,"STT15-LOWER-ANO-OD","STT15-LOWER-ANO-OD","SANTAN STT-15 PILLAR LWR RCVR ODG","SANTAN","Uppers/Lowers",0,0,No,Yes
133116,"FX5116","FX5116","FAXON ASCENT 556NATO 16"" 30RD BLK","FAXON","Rifles",0,0,No,Yes
133117,"FX5216","FX5216","FAXON SENTRY 556NATO 16"" 30RD BLK","FAXON","Rifles",0,0,No,Yes
133119,"FX5516X","FX5516X","FAXON ION-X HYPRLT 556 16"" 30RD BLK","FAXON","Rifles",0,0,No,Yes
148464,"STAG15010242","STAG15010242","STAG STAG15 TAC LH 16"" 5.56 30RD FDE","STAG","Rifles",0,0,No,Yes
137032,"KSA2443","KSA2443","KSA CRICKET 22LR TAN SS","KEY","Rifles",0,0,No,Yes
128483,"BRO-22-D-SC","BRO-22-D-SC","BRO DELUXE 22LR 10RD SHADY CAMO","BRO","Rifles",0,0,No,Yes
128499,"BRO-FUSION-ZGB","BRO-FUSION-ZGB","BRO SPEC+ 556NATO 16"" 30RD FUSN ZOMB","BRO","Rifles",0,0,No,Yes
128502,"BRO-PAT-AMERICA","BRO-PAT-AMERICA","BRO SPEC+ 556NATO 16"" 30RD PAT FLAG","BRO","Rifles",0,0,No,Yes
128503,"BRO-PAT-BETSY","BRO-PAT-BETSY","BRO SPEC+ 556NATO 16"" 30RD PAT BTSY","BRO","Rifles",0,0,No,Yes
128504,"BRO-PAT-FDE-OD","BRO-PAT-FDE-OD","BRO SPEC+ 556NATO 16"" 30RD PAT FD/OD","BRO","Rifles",0,0,No,Yes
128505,"BRO-PAT-GADSDEN","BRO-PAT-GADSDEN","BRO SPEC+ 556NATO 16"" 30RD PAT GADSD","BRO","Rifles",0,0,No,Yes
128506,"BRO-PAT-OBSIDIAN","BRO-PAT-OBSIDIAN","BRO SPEC+ 556NATO 16"" 30RD PAT OBSID","BRO","Rifles",0,0,No,Yes
128519,"BRO-WTP-BLB","BRO-WTP-BLB","BRO WTP 556NATO 16"" 30RD BLUE BW","BRO","Rifles",0,0,No,Yes
128520,"BRO-WTP-LSB","BRO-WTP-LSB","BRO WTP 556NATO 16"" 30RD LT SAND","BRO","Rifles",0,0,No,Yes
128521,"BRO-WTP-RB","BRO-WTP-RB","BRO WTP 556NATO 16"" 30RD RED BW","BRO","Rifles",0,0,No,Yes
128522,"BRO-WTP-TB","BRO-WTP-TB","BRO WTP 556NATO 16"" 30RD TITANIUM BW","BRO","Rifles",0,0,No,Yes
137007,"KSA2159","KSA2159","KSA CRICKETT 22LR PRCSN RFL BLK PCKG","KEY","Rifles",0,0,No,Yes
137009,"KSA2162","KSA2162","KSA CRICKETT 22LR MSSY OAK DB BBL CM","KEY","Rifles",0,0,No,Yes
137010,"KSA2163","KSA2163","KSA CRICKETT G2 22LR MSSY OAK BL BBL","KEY","Rifles",0,0,No,Yes
137011,"KSA2166","KSA2166","KSA CRICKETT G2 22LR MSSY OAK ST BBL","KEY","Rifles",0,0,No,Yes
137015,"KSA2185","KSA2185","KSA 6061 22LR 16.1"" W/RAIL CF TB BLK","KEY","Rifles",0,0,No,Yes
137016,"KSA2190","KSA2190","KSA 6061 22LR OVRLND RFL TB CF BLK","KEY","Rifles",0,0,No,Yes
137018,"KSA2220BSC","KSA2220BSC","KSA CRICKETT G2 22LR PNK SYN BSC PKG","KEY","Rifles",0,0,No,Yes
137021,"KSA2226","KSA2226","KSA CRICKETT G2 22LR PINK LAM ST BBL","KEY","Rifles",0,0,No,Yes
137022,"KSA2238","KSA2238","KSA CRICKETT G2 22LR WLNT BL BBL","KEY","Rifles",0,0,No,Yes
137024,"KSA2240BSC","KSA2240BSC","KSA CRICKETT G2 22LR BLK SYN BSC PKG","KEY","Rifles",0,0,No,Yes
137030,"KSA2441","KSA2441","KSA CRICKET 22LR PINK SS","KEY","Rifles",0,0,No,Yes
134477,"GPSV2","GPSV2","GRIP-POD MIL POLY/STL BIPOD V2 BLK","GRIP","Accessories",0,0,No,No
137031,"KSA2442","KSA2442","KSA CRICKET 22LR GREEN SS","KEY","Rifles",0,0,No,Yes
